iter	RMSE
0	1.255236793
1	1.011963386
2	0.8651425901
3	0.7538219533
4	0.6545701112
5	0.5937849362
6	0.5539373235
7	0.4920149961
8	0.4590766402
9	0.4359320296
10	0.4106336526
11	0.3965069964
12	0.3847209481
13	0.3766982589
14	0.3713147169
15	0.3508453617
16	0.3462709892
17	0.343069017
18	0.3327066115
19	0.3287967134
20	0.3267408837
21	0.3238800274
22	0.316387273
23	0.3134367361
24	0.310484226
25	0.3062381295
26	0.3035031871
27	0.3022364597
28	0.2995990037
29	0.2977877053
30	0.296609667
31	0.2944526446
32	0.2933014726
33	0.2926537663
34	0.2914688809
35	0.290653026
36	0.2901026122
37	0.2892712364
38	0.2885642436
39	0.2874539973
40	0.2867008107
41	0.2859743443
42	0.2853935125
43	0.2850961469
44	0.2844154368
45	0.2837115748
46	0.2832744794
47	0.2830525955
48	0.2828557067
49	0.2824687397
50	0.2822976572
51	0.2817859422
52	0.2814053679
53	0.2809166201
54	0.2803749331
55	0.2799227531
56	0.2795401943
57	0.2791325318
58	0.2788787699
59	0.2786047599
60	0.2782095168
61	0.2779484309
62	0.2777643407
63	0.2775907061
64	0.2772992162
65	0.277068925
66	0.2767916787
67	0.2765819452
68	0.2765319434
69	0.2763504585
70	0.2761707287
71	0.2760004794
72	0.2759603834
73	0.2758181203
74	0.2754020437
75	0.275367563
76	0.2750275608
77	0.2748635152
78	0.2748000184
79	0.2747790968
80	0.2745151777
81	0.274380075
82	0.274293831
83	0.2741903026
84	0.2740239809
85	0.2739012779
86	0.2736424541
87	0.2735020898
88	0.2734066672
89	0.2732801228
90	0.2731563298
91	0.27307359
92	0.2729930246
93	0.2728818101
94	0.2728314771
95	0.2726424379
96	0.2726349354
97	0.2726091733
98	0.2725327009
99	0.272384201
