iter	Passed	Remaining
0	0	56
1	0	47
2	1	44
3	1	42
4	2	49
5	3	57
6	4	58
7	5	62
8	6	64
9	7	65
10	7	64
11	8	61
12	8	59
13	9	56
14	9	54
15	10	53
16	10	51
17	10	49
18	11	48
19	11	47
20	12	46
21	12	45
22	13	44
23	13	43
24	14	42
25	14	41
26	15	40
27	15	40
28	16	39
29	16	38
30	17	37
31	17	37
32	17	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	22	30
42	22	29
43	22	29
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	47	0
99	48	0
